accession,title,summary,organism,technology,geo_study_type,gpl_accessions,gpl_titles,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,processed_data_hint,publication_date,last_update_date,url,search_date,notes
GSE199152,"Next Generation Sequencing Quantitative Analysis of RA-UIP, IPF-UIP, and Non-UIP Patient Lung Biopsy Transcriptomes","Purpose: The goal of this study is to compare transcriptome profiling (RNA-seq) of lung tissue biopsies derived from patients with idiopathic pulmonary fibrosis (IPF or IPF-UIP), or rheumatoid arthritis-associated interstitial diseases (RA-ILD or RA-UIP), or non-usual interstitial pneumonia (non-UIP) controls. Methods: Total RNA was extracted using the RNeasy kit (Qiagen) from fresh frozen lung tissue obtained from the Lung Tissue Repository Consortium (LTRC). RNA samples were then sent to the Genome Analysis Core at Mayo Clinic for sequencing using conventional Illumina mRNA-Seq protocols. A total of 23,295 genes were probed using this platform. Results: RNA-seq data revealed considerable transcriptomic differences between the groups. A heat map generated with the most differentially expressed genes (P<0.05) revealed two distinct gene expression profiles among the three groups. The heat map for the 3 RA-UIP and 20 IPF patients showed a similar gene expression pattern, which contrasted significantly from the non-UIP control group. Conclusions: The RNA-Seq data analysis shows similarities and differences between gene expression profiles of RA-UIP and IPF, suggesting both shared and differential disease-causing mechanistic pathways. Transcriptomic data distinguishes the RA-UIP group from IPF via JAK2-related JAK/STAT signaling pathways.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,,RA=0; control=0; other/unclear=27; total=27,low,0,human; total samples >=20; processed data likely available; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,,yes,yes,no,yes,2022/05/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199152,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE200597,Hyaluronan And Proteoglycan Link Protein 1 (HAPLN1) promotes Proliferation and Pro-inflammatory phenotype but not mobility of Fibroblast-like Synoviocytes,"Objectives: HAPLN1 stabilize the macromolecular structure of the extracellular matrix (ECM) and its expression is increased in a few types of musculoskeletal diseases including rheumatoid arthritis (RA). However, its functions are obscure. Methods: Here, how HAPLN1 contributes to the viability, proliferation, mobility and pro-inflammatory phenotype of RA-FLSs was investigated using small interfering RNA (siHAPLN1), over-expression vector (HAPLN1OE) and a recombinant HAPLN1 (rHAPLN1) protein. Results: Interestingly, HAPLN1 promoted proliferation but inhibited migration of RA-FLSs. Earlier we reported the function of metformin, an AMPK activator, in the inhibition of FLSs activation but promotion of HAPLN1 secretion. In this study, we confirmed the findings of up-regulated HAPLN1 in RA patients, and it is positively correlated with AMPK. Both si-HAPLN1 and HAPLN1OE treatment has down-regulated the expression of AMPK-ɑ gene but the levels of phosphorylated AMPK-ɑ were found to be up-regulated in RA-FLSs. Furthermore, si-HAPLN1 had down-regulated the gene and protein expression of proinflammatory factors like TNF-ɑ, MMPs and IL-6, while HAPLN1OE up-regulated their levels. qPCR assay also indicated down regulated TGF-β, ACAN, Fibronectin, collagen Ⅱ, and Ki-67 by si-HAPLN1 treatment, while up-regulated ACAN, Ki-67 and down regulated cyclin-D1 by HAPLN1OE treatment. Proteomics of si-HAPLN1, rHAPLN1 and mRNA-Seq analysis of rHAPLN1 confirmed the functions of HAPLN1 in the activation of inflammation, proliferation, increased cell adhesion, and strengthening of ECM function. Conclusions: Collectively, these findings demonstrate HAPLN1 function in promoting proliferation and pro-inflammatory phenotype of RA-FLSs, which in turn could contribute to RA pathogenesis.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=0; other/unclear=3; total=3,low,0,human; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,synovium; synovial fibroblast,no,yes,yes,yes,2022/06/22,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200597,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE202365,Bulk RNA-seq of human synovial fluid CD8 T cells sorted by Granzyme B vs Granzyme K expression,"Cryopreserved synovial fluid mononuclear cells from three patients with seropositive rheumatoid arthritis were thawed and stained for surface antibodies, then fixed and stained for intracellular granzyme K and granzyme B. CD8 T cells with the following expression patterns were then isolated by FACS.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,,RA=0; control=0; other/unclear=12; total=12,low,0,human; processed data likely available; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,T cell,no,yes,no,yes,2022/05/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202365,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE203356,Base-Level Resolution Run-On Sequencing in Osteoclast Precursor Cells,"To understand the pathogenic mechanisms of bone erosion in rheumatoid arthritis (RA), we investigated osteoclast-specific epigenetic programs, RANKL-responsive super-enhancers (SEs) and SE-associated enhancer RNAs (SE-eRNAs) in human osteoclasts. This dataset contains precision run-on sequencing (PRO-seq) data performed to detect SE-eRNA transcription activity.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,,RA=0; control=0; other/unclear=6; total=6,low,0,human; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,blood; monocyte,yes,yes,yes,yes,2022/11/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203356,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE221012,Targeting macrophage M1 polarization suppression through PCAF inhibition alleviates autoimmune arthritis via synergistic NF-κB and H3K9Ac blockade,"M1 macrophages are considered to contribute to autoimmune arthritis such as rheumatoid arthritis, spondyloarthritis. However, the exact role of M1 macrophage during inflammatory joint disease remain unclear. To explore the molecular mechanisms underlying M1 macrophage in autoimmune arthritis, we performed the whole transcriptome sequencing of 3 repeats of M0, 3 repeats of M1 without 20 μM Garcinol and 3 repeats of M1 with 20 μM Garcinol.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,,RA=0; control=0; other/unclear=9; total=9,low,0,human; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,macrophage,no,yes,yes,yes,2022/12/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221012,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE224190,Inflammatory cytokines pre-treatment enhances the immunomodulatory property of hUC-MSCs,"Mesenchymal stem cells (MSCs) exist in almost all tissues and participate in tissue regeneration and homeostasis. MSCs based therapy is applied to some refractory immune diseases to control inflammation, such as lupus nephritis, Crohn’s disease and rheumatoid arthritis. However, accumulating studies showed that the immunomodulatory capacity of naïve MSCs is mild and limited. To enhance MSCs immunomodulatory function, researchers innovated a new method to reprogram MSCs via pre-treatment with inflammatory cytokines. In this work, we firstly used a cocktail of three cytokines, IL-1β, TNF-a and IFN-γ, to treat hUC-MSCs (human MSCs from umbilical cord). We then performed gene expression profiling analysis using data obtained from RNA-seq of 3 untreated hUC-MSCs (ctrl) and 3 cytokines-treated hUC-MSCs (primed).",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,,RA=0; control=0; other/unclear=6; total=6,low,0,human; processed data likely available; clinical metadata mentioned; RA/control groups unclear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,,yes,yes,yes,yes,2023/06/12,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224190,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE224775,Effect of Dectin-1 and Fcgr2b on IVIg mediated reprogramming of monocytes,"To investigate the role of Dectin-1 and FcgRIIb on monocytes as signaling hubs for IVIg Immunoglobulin G (IgG) antibodies are major drivers of inflammation during infectious and autoimmune diseases. In pooled serum IgG (IVIg), however, antibodies have a potent immunomodulatory and anti-inflammatory activity, but how this is mediated is unclear. We studied IgG-dependent initiation of resolution of inflammation in cytokine- and autoantibody-driven models of rheumatoid arthritis and found IVIg sialylation inhibited joint inflammation while inhibition of osteoclastogenesis was sialic acid-independent. Instead, IVIg-dependent inhibition of osteoclastogenesis was abrogated in mice lacking receptors Dectin-1 or FcgRIIb. Atomistic molecular dynamics simulations and super-resolution microscopy revealed that Dectin-1 promoted FcgRIIb membrane conformations that allowed productive IgG binding and enhanced interactions with mouse and human IgG subclasses. IVIg reprogrammed monocytes via FcgRIIb-dependent signaling that required Dectin-1.",Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL19057,,RA=0; control=0; other/unclear=18; total=18,low,0,human; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,monocyte,yes,yes,yes,yes,2024/12/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224775,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE225530,Differential expression of human BM-MSCs RNA-Seq and 21-day of chondrogenic differentiation from high-depth transcriptomic profiling of mesenchymal stem cells during chondrogenesis,"A comprehensive evaluation of differential gene expression on RNA-seq data of early and late passage hMSCs from three individuals, and undifferentiated and 21-day of chondrogenic differentiation hMSCs from previous publication (GSE109503). Genome-wide RNA-seq and differential expression analysis revealed that signalings such as Pulmonary Fibrosis Idiopathic (IPF) Signaling Pathway and Osteoclasts in Rheumatoid Arthritis (RA) Signaling Pathway were significant differences in early MSC. Differential FOXO1 expression, higher in Early than Late MSCs, was responsible for promoting suspension survival, and cell migration, and induces chondrogenic differentiation.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,,RA=0; control=0; other/unclear=6; total=6,low,0,human; processed data likely available; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,,no,no,no,yes,2023/02/24,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225530,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE234595,TH17 cells converted into exTH17 cells sustain rheumatoid-like IL-17–independent inflammatory arthritis,"T helper 17 (TH17) cells are found in the periphery and synovium of patients with rheumatoid arthritis (RA); however, IL-17–targeted interventions have limited efficacy in established RA. Inflammation can induce TH17 cell transdifferentiation into IL-17–negative exTH17 cells, but the role of exTH17 cells in arthritis is unknown. We performed TH17 cell lineage tracing in the SKG mouse model of RA. In arthritic mice, synovial TH17 cells transdifferentiate into CD44+ exTH17 cells, which are more arthritogenic and sustain inflammation that is IL-17 independent. The exTH17 cell gene signature includes up-regulation of CD44 and sphingosine-1-phosphate receptor 4 (S1PR4) and correlates with the profile of human RA synovial CD4+ T cells. We demonstrate that cross-talk between TH17 cells and fibroblast-like synoviocytes (FLSs) via S1P promotes TH17-exTH17 cell conversion. CD44 is necessary for exTH17 cell–mediated arthritis. Our study suggests that FLS expansion during RA progression promotes TH17-exTH17 cell conversion. These results could potentially enable RA precision therapy.",Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24247,,RA=0; control=0; other/unclear=16; total=16,low,0,human; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,synovium; synovial fibroblast; T cell,no,yes,yes,yes,2025/09/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234595,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE241655,Microbiota-dependent indole production is required for the development of collagen-induced arthritis,"Altered tryptophan catabolism has been identified in inflammatory diseases like rheumatoid arthritis (RA) and spondyloarthritis (SpA), but the causal mechanisms linking tryptophan metabolites to disease are unknown. Using the collagen-induced arthritis (CIA) model we identify alterations in tryptophan metabolism, and specifically indole, that correlate with disease. We demonstrate that both bacteria and dietary tryptophan are required for disease, and indole supplementation is sufficient to induce disease in their absence. When mice with CIA on a low-tryptophan diet were supplemented with indole, we observed significant increases in serum IL-6, TNF, and IL-1β; splenic RORγt+CD4+ T cells and ex vivo collagen-stimulated IL-17 production; and a pattern of anti-collagen antibody isotype switching and glycosylation that corresponded with increased complement fixation. IL-23 neutralization reduced disease severity in indole-induced CIA. Finally, exposure of human colon lymphocytes to indole increased expression of genes involved in IL-17 signaling and plasma cell activation. Altogether, we propose a mechanism by which intestinal dysbiosis during inflammatory arthritis results in altered tryptophan catabolism, leading to indole stimulation of arthritis development. Blockade of indole generation may present a novel therapeutic pathway for RA and SpA.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL15520,,RA=0; control=0; other/unclear=20; total=20,low,0,human; total samples >=20; processed data likely available; tissue/source clear; RA/control groups unclear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,T cell; B cell,yes,yes,no,yes,2023/11/13,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241655,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE245066,STAT1 deficiency underlies a proinflammatory imprint of naive CD4+ T cells in spondyloarthritis [RNA-Seq],"In spondyloarthritis (SpA), an increased type 3 immune response, including T helper cells (Th) 17 excess, is observed in both human and SpA animal models, such as the HLA-B27/human β2-microglobulin transgenic rat (B27-rat). To investigate this unexplained Th17-biased differentiation, we focused on understanding the immunobiology of B27-rat naive CD4+ T cells (Tn). We observed that neutrally stimulated B27-rat Tn developed heightened Th17 profile even before disease onset, suggesting an intrinsic proinflammatory predisposition. In parallel with this observation, transcriptomic and epigenomic analysis showed that B27-rat Tn exhibited a decreased expression of Interferon/Th1- and increased expression of Th17-related genes. This molecular signature was predicted to be related to an imbalance of STAT1/STAT3 transcription factors activity. Stat1 mRNA and STAT1 protein expression were decreased before disease onset in Tn, even in their thymic precursors, whereas Stat3/STAT3 expression increased upon disease establishment. Confirming the relevance of these results, STAT1 mRNA expression was also decreased in Tn from SpA patients, as compared with healthy controls and rheumatoid arthritis patients. Finally, stimulation of B27-rat Tn with a selective STAT1 activator abolished this preferential IL-17A expression, suggesting that STAT1 altered activity in B27-rats allows Th17 differentiation. Altogether, B27-rat Tn harbor a STAT1 deficiency preceding disease onset, that may occur during their thymic differentiation, secondarily associated with a persistent Th17 bias, which is imprinted at the epigenomic level. This early molecular phenomenon might lead to the persistent proinflammatory skew of CD4+ T cells in SpA patients, thus offering new clues to better understand and treat SpA.",Rattus norvegicus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20084,,RA=0; control=0; other/unclear=26; total=26,low,0,human; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,T cell,yes,yes,yes,yes,2023/10/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245066,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE261205,A network-based framework to discover treatment-response-predicting biomarkers for complex diseases,"Precision medicine's potential to transform complex autoimmune-disease treatment is often challenged by limited data availability and inadequate sample size when compared to the number of molecular features found in high-throughput multi-omics datasets. Addressing this issue, the novel framework PRoBeNet (Predictive Response Biomarkers using Network medicine) was developed. ProBeNet operates under the hypothesis that the therapeutic effect of a drug propagates through a protein–protein interaction network to reverse disease states. ProBeNet prioritizes biomarkers by considering (1) therapy-targeted proteins, (2) disease-specific molecular signatures, and (3) an underlying network of interactions among cellular components (the human interactome). With ProBeNet, biomarkers were discovered predicting patient responses to both an established autoimmune therapy (infliximab) and an investigational compound (a MAPK3/1 inhibitor). Predictive power of ProBeNet biomarkers was validated with retrospective gene-expression data from ulcerative-colitis and rheumatoid-arthritis patients and prospective data from ulcerative-colitis and Crohn’s disease patient-derived tissues. Machine-learning models using ProBeNet biomarkers significantly outperformed models using either all genes or randomly selected genes, especially when data were limited (fewer than 20 samples). These results illustrate the value of ProBeNet for reducing features and for constructing robust machine-learning models when limited data are available. ProBeNet may be used to develop companion and complementary diagnostic assays for complex autoimmune-disease therapies, which may help stratify suitable patient subgroups in clinical trials, approve new drugs, and improve patient outcomes.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=0; other/unclear=12; total=12,low,0,human; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid-arthritis,blood; T cell,no,yes,yes,yes,2024/03/13,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261205,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE266295,A novel immunosenescent CD8+ T cell subset in patients with Ankylosing Spondylitis and Psoriatic Arthritis links spontaneous motility to telomere shortening and dysfunction,"Objectives: A pathogenetic role of CD8+ T lymphocytes in ankylosing spondylitis (AS) and other spondyloarthritis (SpA) is sustained by genome-wide association studies (GWAS) as well as the expansion of public T cell clonotypes in the target tissues. This study focuses on CD8+ T cells from AS and psoriatic arthritis (PsA) patients with the aim to correlate their phenotype and function with motility. Methods: Peripheral blood CD8+ and CD4+ T cells were isolated from AS (n= 128), PsA (n= 60) and rheumatoid arthritis (RA, n= 74) patients and healthy donors (HD, n= 79). Transwell migration assay was performed in the presence of different chemokines. CD8+ T cell immunoprofiling and effector functions were assessed by multiparametric flow cytometry. Transcriptome signature was evaluated by RNA-seq analysis while telomere length and dysfunction were measured by RT-PCR and IF-fluorescence in situ hybridization (FISH), respectively. Results: A significantly higher number of CD8+ T cells migrating in the absence of chemokine stimuli was found in patients with SpA compared to HD and RA patients. This subset, producing cytotoxic (granzyme B, perforin, granulysin) and inflammatory molecules (TNFα), was significantly enriched in terminally differentiated (CCR7-CD45RA+) and senescent (CD28-CD57+) cells with a gene expression profile characterized by cytolytic signature and natural killer (NK) markers. Of note, these spontaneously migrating CD8+ T cells showed activation of DNA damage response (DDR), telomere shortening and dysfunction. Conclusions: Our data describe a terminally differentiated CD8+ T cell subset with a senescent and cytotoxic/proinflammatory profile and an intrinsic invasive potential enriched in SpA patients that represents a possible player in disease pathogenesis.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=0; other/unclear=16; total=16,low,0,human; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,blood; T cell,yes,yes,yes,yes,2025/07/09,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266295,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE271058,Effectiveness of low-intensity exercise in mitigating active arthritis exacerbation in a mouse rheumatoid-arthritis model,"Objective To investigate the effects of low-intensity exercise on active arthritis in a SKG mouse model of human rheumatoid arthritis (RA) pathology. Methods Twenty-four female SKG mice were divided into three groups: sedentary (control), AR (induced arthritis), and AREx (induced arthritis plus low-intensity exercise). Arthritis was induced via intraperitoneal administration of mannan. After a 2-week inflammation period, low-intensity treadmill exercise was performed only in the AREx group. Arthritis was assessed weekly during the rearing period. After 4 weeks of exercise, histological and bone morphometric analyses of the right ankle joint were performed. A histological analysis of the gastrocnemius muscle was also performed. Bulk mRNA sequencing was conducted on the left synovial membrane-fat pad (SM-FP) complex. Results The synovitis score showed no change; however, the arthritis score was significantly lower in the AREx group than in the AR group (p<0.05), indicating that low-intensity exercise suppressed arthritis exacerbation. The calcaneal and talar bone volumes decreased in the AR group, whereas the AREx group showed no significant change. In the SM-FP complex tissue, the gene expression of inflammatory cytokines decreased in the AREx group compared with the AR group, particularly the suppression of IL6/Jak/Stat3. Immunohistochemical analysis revealed significantly decreased expression of pro-inflammatory cytokines and increased expression of anti-inflammatory cytokines in the synovium of the AREx group compared with the AR group (p<0.05). Conclusion Low-intensity exercise therapy for active RA showed anti-inflammatory and suppressive effects on arthritis exacerbation in SKG mice, a mouse model of human RA pathology.",Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21626,,RA=0; control=0; other/unclear=12; total=12,low,0,human; processed data likely available; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,synovium,yes,yes,no,yes,2025/01/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271058,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE271643,Cellular Communication Network Factor 3 contributes to the pathological process of rheumatoid arthritis via promoting cell senescence in synovial cells,"Cellular Communication Network Factor 3 (CCN3) is a secreted protein. It belongs to the CCN family of regulatory proteins, which play essential roles in various cellular processes. In this study, we investigated the functional characteristics of CCN3 in rheumatoid arthritis. We found CCN3 is involved in cellular senescence and inflammation of fibroblast like synoviocyte (FLS) in vitro. To understand this mechanism, CCN3 is were added to FLS and their responses were examined by bulk-RNA analysis.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=0; other/unclear=6; total=6,low,0,human; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,synovial fibroblast,no,yes,yes,yes,2024/11/26,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271643,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE272361,Herpes simplex virus 1 infection of human brain organoids and pancreatic stem cell-islets drives transcripts associated with Alzheimer’s disease and autoimmune diseases,"Viral infections leading to inflammation have been implicated in several common diseases such as Alzheimer’s disease (AD) and type 1 diabetes (T1D). Of note, herpes simplex virus 1 (HSV-1) has been reported to be associated with AD. We sought to identify the transcriptomic changes due to HSV-1 infection and anti-viral drug (acyclovir, ACV) treatment of HSV-1 infection in dissoci-ated cells from human cerebral organoids (dcOrgs) versus stem cell-derived pancreatic islets (sc-islets) to gain potential biological insights into the relevance of HSV-1-induced inflammation in AD and T1D. We observed that differentially expressed genes (DEGs) in HSV-1-infected sc-islets were enriched for genes associated with several autoimmune diseases, most significantly T1D but also rheumatoid arthritis, psoriasis, Crohn’s disease, and multiple sclerosis, whereas DEGs in HSV-1-infected dcOrgs were exclusively enriched for genes associated with AD. ACV treatment of sc-islets did not rescue transcript expression of autoimmune disease-associated genes. Finally, we identified gene ontology categories that were enriched for DEGs that were in common across, or unique to, viral treatment of dcOrgs and sc-islets, such as categories involved in the transferase complex, mitochondrial and autophagy function. Collectively, this studies pro-vide insight to the molecular effects of inflammation in AD and T1D.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=0; other/unclear=9; total=9,low,0,human; processed data likely available; clinical metadata mentioned; RA/control groups unclear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,,no,yes,yes,yes,2024/11/27,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272361,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE272743,Cellular Communication Network Factor 3 contributes to the pathological process of rheumatoid arthritis via osteoclastgenesis in the joint.,"Cellular Communication Network Factor 3 (CCN3) is a secreted protein. It belongs to the CCN family of regulatory proteins, which play essential roles in various cellular processes. In this study, we investigated the functional characteristics of CCN3 in rheumatoid arthritis. We found CCN3 is involved in cellular senescence and osteoclastgenesis of macrophage in vitro. To understand this mechanism, CCN3 is were added to Macrophage and their responses were examined by bulk-RNA analysis.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=0; other/unclear=3; total=3,low,0,human; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,blood; macrophage; monocyte,yes,yes,yes,yes,2024/11/26,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272743,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE277891,The response of human coronary artery endothelial cells to PPBP treatment,"Pro-platelet basic protein (PPBP), a platelet-derived member of the CXC chemokine family, activates neutrophils and other immune cells via CXCR1 and CXCR2 receptors. It is associated with various diseases, including chronic obstructive pulmonary disease, inflammatory bowel disease, and rheumatoid arthritis. In our study, PPBP was found to be significantly upregulated in both the dermal adipose tissue and plasma of patients with psoriasis. Administration of PPBP or imiquimod in Apoe-/- mice exacerbated atherosclerosis by inducing oxidative stress and mitochondrial dysfunction in coronary artery endothelial cells. Conversely, neutralizing PPBP or administering the mitochondria-targeted antioxidant Mito-TEMPO significantly reduced atherosclerotic plaque formation in these mice. To further explore the mechanisms by which PPBP contributes to atherosclerotic plaque development, we conducted transcriptomic analysis of human coronary artery endothelial cells (HCAEC) treated with PPBP",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=0; other/unclear=8; total=8,low,0,human; processed data likely available; clinical metadata mentioned; RA/control groups unclear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,,yes,yes,yes,yes,2025/06/07,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277891,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE279858,Gene expression profile on dermal fibroblasts treated with melanocortin compounds,"Fibroblasts have emerged as new therapeutic targets for the treatment of multiple conditions, ranging from rheumatoid arthritis to fibrosis. Hence, the development of novel therapies targeting this cell type offers new opportunities for diseases with high medican needs.In this study, human dermal fibroblasts obtained from healthy volunteers were cultured in vitro and treated with various compounds to determine their gene expression profile compared to vehicle-treated fibroblasts.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=0; other/unclear=16; total=16,low,0,human; processed data likely available; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,,yes,yes,no,yes,2025/10/29,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279858,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE285602,Citrullinated IGF2BP1 promotes rheumatoid synovial aggression via increasing the mRNA stability of SEMA3D,"Protein citrullination modification plays a pivotal role in the pathogenesis of rheumatoid arthritis (RA), and anti-citrullinated protein antibodies (ACPAs) are extensively employed for clinical diagnosis of RA. However, there remains limited understanding regarding specific citrullinated proteins and their implications in the progression of RA. In this study, we screened and verified insulin-like growth factor-2 mRNA binding protein 1 (IGF2BP1) as a novel citrullinated protein and R167 was the primary citrullination site. Functional verification showed that citrullination at the R167 site of IGF2BP1 promoted the proliferation, migration and invasion of RA fibroblast-like synoviocytes (RA-FLSs). To further explore the specific downstream target of citrullinated IGF2BP1, RNA sequencing was conducted in this study.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=0; other/unclear=6; total=6,low,0,human; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,synovium; synovial fibroblast,no,yes,yes,yes,2025/01/03,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285602,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
